Result/Notes:,Business Name,Phone #,Locale,Owner Name,Introduction,Website Link,claude_estimated_owner,Place ID
,1st Call Plumbing,+1 870-919-3036,"plumber, 72412, Beech Grove, AR, US",Doug,Hey Doug! My name is Jared - I live in Little Rock and help out local plumbers. I made this website for your business! Check it out here:,https://plumber-taupe.vercel.app/?site_id=1stcallplumbing,Doug Doug,https://plumber-taupe.vercel.app/?site_id=1stcallplumbing
,Johnny Thomas Plumbing,+1 501-276-4225,"plumber, 72412, Beech Grove, AR, US",Johnny Thomas,Hey Johnny! My name is Jared - I live in Little Rock and help out local plumbers. I made this website for your business! Check it out here: https://atlasgrowth.github.io/Arkansasplumbers/?site_id=johnnythomasplumbing,https://plumber-taupe.vercel.app/?site_id=johnnythomasplumbing,No confident estimation,https://plumber-taupe.vercel.app/?site_id=johnnythomasplumbing
,Barkley Plumbing and Septic,+1 870-926-1296,"plumber, 72412, Beech Grove, AR, US",Ethan Barkley,Hey Ethan! My name is Jared - I live in Little Rock and help out local plumbers. I made this website for your business! Check it out here:,https://plumber-taupe.vercel.app/?site_id=barkleyplumbingandseptic,Ethan Ethan,https://plumber-taupe.vercel.app/?site_id=barkleyplumbingandseptic
,David's Fast Emergency Plumbing,+1 870-761-7149,"plumber, 72412, Beech Grove, AR, US",David,Hey David! My name is Jared - I live in Little Rock and help out local plumbers. I made this website for your business! Check it out here:,https://plumber-taupe.vercel.app/?site_id=davidsfastemergencyplumbing,No confident estimation,https://plumber-taupe.vercel.app/?site_id=david'sfastemergencyplumbing
,Elliot Plumbing Company,+1 870-316-5553,"plumber, 72412, Beech Grove, AR, US",Luther Elliot,Hey Luther! My name is Jared - I live in Little Rock and help out local plumbers. I made this website for your business! Check it out here:,https://plumber-taupe.vercel.app/?site_id=elliotplumbingcompany,No confident estimation,https://plumber-taupe.vercel.app/?site_id=elliotplumbingcompany
,Ogles Plumbing,+1 870-316-4888,"plumber, 72412, Beech Grove, AR, US",Herbert Ogles,Hey Herbert! My name is Jared - I live in Little Rock and help out local plumbers. I made this website for your business! Check it out here:,https://plumber-taupe.vercel.app/?site_id=oglesplumbing,No confident estimation,https://plumber-taupe.vercel.app/?site_id=oglesplumbing
,Chris Magness Plumbing,+1 870-926-1190,"plumber, 72412, Beech Grove, AR, US",Chris Magness,Hey Joseph! My name is Jared - I live in Little Rock and help out local plumbers. I made this website for your business! Check it out here:,https://plumber-taupe.vercel.app/?site_id=chrismagnessplumbing,No confident estimation,https://plumber-taupe.vercel.app/?site_id=chrismagnessplumbing
,Two Guys Plumbing Inc.,+1 870-926-8805,"plumber, 72412, Beech Grove, AR, US",Tanner,Hey Tanner! My name is Jared - I live in Little Rock and help out local plumbers. I made this website for your business! Check it out here:,https://plumber-taupe.vercel.app/?site_id=twoguysplumbinginc,No confident estimation,https://plumber-taupe.vercel.app/?site_id=twoguysplumbinginc.
,Superior Plumbing,+1 870-206-7809,"plumber, 72412, Beech Grove, AR, US",Dewayne Parnell,Hey Dewayne! My name is Jared - I live in Little Rock and help out local plumbers. I made this website for your business! Check it out here:,https://plumber-taupe.vercel.app/?site_id=superiorplumbing,No confident estimation,https://plumber-taupe.vercel.app/?site_id=superiorplumbing
,Mid-South Heat & Air,+1 870-450-0777,"plumber, 72412, Beech Grove, AR, US",Aaron Burns,Hey Aaron! My name is Jared - I live in Little Rock and help out local plumbers. I made this website for your business! Check it out here:,https://plumber-taupe.vercel.app/?site_id=midsouthheatair,Aaron,https://plumber-taupe.vercel.app/?site_id=mid-southheat&air
,JVT Remodeling & Home Service,+1 573-712-6205,"plumber, 72412, Beech Grove, AR, US",Jason Tyler,Hey Jason! My name is Jared - I live in Little Rock and help out local plumbers. I made this website for your business! Check it out here:,https://plumber-taupe.vercel.app/?site_id=jvtremodelinghomeservice,No confident estimation,https://plumber-taupe.vercel.app/?site_id=jvtremodeling&homeservice
,All In One Services,+1 870-810-7688,"plumber, 72413, Biggers, AR, US",Kopen Hull,Hey Kopen! My name is Jared - I live in Little Rock and help out local plumbers. I made this website for your business! Check it out here:,https://plumber-taupe.vercel.app/?site_id=allinoneservices,No confident estimation,https://plumber-taupe.vercel.app/?site_id=allinoneservices
,King Plumbing,+1 870-268-0587,"plumber, 72413, Biggers, AR, US",Donald King,Hey Donald! My name is Jared - I live in Little Rock and help out local plumbers. I made this website for your business! Check it out here:,https://plumber-taupe.vercel.app/?site_id=kingplumbing,No confident estimation,https://plumber-taupe.vercel.app/?site_id=kingplumbing
,Williams plumbing jonesboro,+1 870-809-9535,"plumber, 72413, Biggers, AR, US",Jarrett Brown,Hey Rodney! My name is Jared - I live in Little Rock and help out local plumbers. I made this website for your business! Check it out here:,https://plumber-taupe.vercel.app/?site_id=williamsplumbingjonesboro,No confident estimation,https://plumber-taupe.vercel.app/?site_id=williamsplumbingjonesboro
,B&J handyman service,+1 870-761-2198,"plumber, 72416, Bono, AR, US",Rodney Williams,Hey ! My name is Jared - I live in Little Rock and help out local plumbers. I made this website for your business! Check it out here:,https://plumber-taupe.vercel.app/?site_id=bjhandymanservice,No confident estimation,https://plumber-taupe.vercel.app/?site_id=b&jhandymanservice
,JD Plumbing LLC,+1 936-215-3435,"plumber, 72416, Bono, AR, US",Mr. Taylor,Hey Melissa! My name is Jared - I live in Little Rock and help out local plumbers. I made this website for your business! Check it out here:,https://plumber-taupe.vercel.app/?site_id=jdplumbingllc,No confident estimation,https://plumber-taupe.vercel.app/?site_id=jdplumbingllc
